Id,Games,City,Sport,Event,Medal
28249,2008 Summer,Beijing,Athletics,Athletics Men's Marathon,NA
28250,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,NA
28251,1968 Summer,Mexico City,Boxing,Boxing Men's Bantamweight,NA
28252,1960 Summer,Roma,Athletics,Athletics Men's 100 metres,NA
28253,1960 Summer,Roma,Athletics,Athletics Men's 200 metres,NA
28254,1960 Summer,Roma,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28255,1964 Summer,Tokyo,Athletics,Athletics Men's 100 metres,NA
28256,1964 Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28257,2000 Summer,Sydney,Athletics,"Athletics Men's 5,000 metres",NA
28258,2004 Summer,Athina,Athletics,Athletics Men's Javelin Throw,NA
28259,2008 Summer,Beijing,Athletics,Athletics Men's Javelin Throw,NA
28260,2012 Summer,London,Athletics,Athletics Men's Javelin Throw,NA
28261,1968 Summer,Mexico City,Athletics,Athletics Men's Triple Jump,NA
28262,1972 Summer,Munich,Athletics,Athletics Men's Triple Jump,NA
28263,1972 Summer,Munich,Athletics,Athletics Men's Discus Throw,NA
28264,1980 Summer,Moskva,Athletics,Athletics Women's Discus Throw,NA
28265,1988 Summer,Seoul,Athletics,Athletics Women's Discus Throw,NA
28266,2012 Summer,London,Boxing,Boxing Men's Middleweight,Gold
28267,1960 Summer,Roma,Athletics,Athletics Women's 80 metres Hurdles,NA
28268,1956 Summer,Melbourne,Boxing,Boxing Men's Light-Heavyweight,Bronze
28269,1980 Summer,Moskva,Athletics,Athletics Men's 100 metres,NA
28270,1980 Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
28271,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
28272,2008 Summer,Beijing,Athletics,Athletics Men's 200 metres,NA
28273,2012 Summer,London,Athletics,Athletics Men's 200 metres,NA
28274,1968 Summer,Mexico City,Athletics,Athletics Women's Discus Throw,NA
28275,1972 Summer,Munich,Athletics,Athletics Women's Discus Throw,NA
28276,2000 Summer,Sydney,Athletics,Athletics Men's 100 metres,NA
28277,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28278,1984 Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",NA
28279,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",NA
28280,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",NA
28281,1956 Summer,Melbourne,Athletics,Athletics Men's 100 metres,NA
28282,1956 Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
28283,1992 Summer,Barcelona,Athletics,"Athletics Women's 10,000 metres",NA
28284,1972 Summer,Munich,Athletics,Athletics Men's 400 metres Hurdles,NA
28285,2008 Summer,Beijing,Athletics,Athletics Women's Pole Vault,NA
28286,2012 Summer,London,Athletics,Athletics Women's Pole Vault,NA
28287,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Pole Vault,NA
28288,1992 Summer,Barcelona,Athletics,Athletics Women's Marathon,NA
28289,2000 Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,NA
28290,2004 Summer,Athina,Athletics,Athletics Women's 200 metres,NA
28291,2004 Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,NA
28292,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,NA
28293,2000 Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,NA
28294,2004 Summer,Athina,Athletics,Athletics Women's 100 metres,NA
28295,2004 Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,NA
28296,2008 Summer,Beijing,Athletics,Athletics Women's 100 metres,NA
28297,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28298,1964 Summer,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28299,2000 Summer,Sydney,Athletics,Athletics Men's Hammer Throw,NA
28300,2004 Summer,Athina,Athletics,Athletics Men's Hammer Throw,Gold
28301,2008 Summer,Beijing,Athletics,Athletics Men's Hammer Throw,NA
28302,2012 Summer,London,Athletics,Athletics Men's Hammer Throw,Bronze
28303,1972 Summer,Munich,Athletics,Athletics Men's Hammer Throw,NA
28304,1976 Summer,Montreal,Athletics,Athletics Men's Hammer Throw,NA
28305,1984 Summer,Los Angeles,Athletics,Athletics Men's Hammer Throw,NA
28306,2004 Summer,Athina,Athletics,Athletics Women's Hammer Throw,NA
28307,1984 Summer,Los Angeles,Athletics,Athletics Women's Long Jump,NA
28308,1996 Summer,Atlanta,Athletics,Athletics Women's Long Jump,NA
28309,1952 Summer,Helsinki,Athletics,Athletics Men's 800 metres,NA
28310,1952 Summer,Helsinki,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28311,1956 Summer,Melbourne,Athletics,Athletics Men's 800 metres,NA
28312,1956 Summer,Melbourne,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28313,1996 Summer,Atlanta,Athletics,Athletics Men's Triple Jump,NA
28314,2000 Summer,Sydney,Athletics,Athletics Men's Triple Jump,NA
28315,2004 Summer,Athina,Athletics,Athletics Men's Triple Jump,NA
28316,2004 Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,NA
28317,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 800 metres,Bronze
28318,1968 Summer,Mexico City,Athletics,"Athletics Men's 1,500 metres",NA
28319,1972 Summer,Munich,Athletics,Athletics Men's 800 metres,NA
28320,1972 Summer,Munich,Athletics,"Athletics Men's 1,500 metres",NA
28321,1972 Summer,Munich,Athletics,Athletics Women's 100 metres Hurdles,NA
28322,1972 Summer,Munich,Athletics,Athletics Women's Pentathlon,NA
28323,1988 Summer,Seoul,Athletics,Athletics Men's 400 metres,NA
28324,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28325,1960 Summer,Roma,Athletics,Athletics Men's 800 metres,NA
28326,1988 Summer,Seoul,Athletics,Athletics Women's Marathon,NA
28327,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Downhill,NA
28328,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
28329,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28330,1980 Winter,Lake Placid,Alpine Skiing,Alpine Skiing Men's Downhill,NA
28331,1964 Summer,Tokyo,Athletics,"Athletics Men's 10,000 metres",NA
28332,2012 Summer,London,Athletics,Athletics Women's Marathon,NA
28333,1972 Summer,Munich,Athletics,Athletics Men's 110 metres Hurdles,NA
28334,2008 Summer,Beijing,Boxing,Boxing Men's Bantamweight,NA
28335,2012 Summer,London,Athletics,"Athletics Men's 1,500 metres",NA
28336,1988 Summer,Seoul,Athletics,"Athletics Women's 3,000 metres",Bronze
28337,1992 Summer,Barcelona,Athletics,"Athletics Women's 3,000 metres",NA
28338,1972 Summer,Munich,Athletics,Athletics Women's 200 metres,NA
28339,1976 Summer,Montreal,Athletics,Athletics Women's 400 metres,NA
28340,1976 Summer,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,NA
28341,1980 Summer,Moskva,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
28342,1968 Summer,Mexico City,Athletics,Athletics Men's Javelin Throw,NA
28343,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Pole Vault,NA
28344,1968 Summer,Mexico City,Boxing,Boxing Men's Lightweight,NA
28345,1972 Summer,Munich,Boxing,Boxing Men's Light-Welterweight,NA
28346,1972 Summer,Munich,Boxing,Boxing Men's Welterweight,Bronze
28347,1992 Summer,Barcelona,Athletics,Athletics Men's Long Jump,NA
28348,1968 Summer,Mexico City,Athletics,"Athletics Men's 5,000 metres",NA
28349,1968 Summer,Mexico City,Athletics,"Athletics Men's 10,000 metres",NA
28350,1968 Summer,Mexico City,Athletics,Athletics Men's Marathon,NA
28351,1972 Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28352,1984 Summer,Los Angeles,Athletics,"Athletics Men's 5,000 metres",NA
28353,1984 Summer,Los Angeles,Athletics,"Athletics Men's 10,000 metres",NA
28354,1988 Summer,Seoul,Athletics,"Athletics Men's 10,000 metres",NA
28355,1972 Summer,Munich,Athletics,"Athletics Men's 10,000 metres",NA
28356,1972 Summer,Munich,Athletics,Athletics Men's Marathon,NA
28357,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres",NA
28358,1968 Summer,Mexico City,Boxing,Boxing Men's Welterweight,Bronze
28359,1980 Summer,Moskva,Athletics,Athletics Men's 800 metres,NA
28360,1980 Summer,Moskva,Athletics,"Athletics Men's 1,500 metres",NA
28361,1980 Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28362,1984 Summer,Los Angeles,Athletics,Athletics Men's 800 metres,NA
28363,1984 Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",NA
28364,1964 Summer,Tokyo,Athletics,Athletics Women's 80 metres Hurdles,NA
28365,1972 Summer,Munich,Athletics,Athletics Women's 200 metres,NA
28366,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,NA
28367,1992 Summer,Barcelona,Athletics,Athletics Women's Long Jump,NA
28368,1980 Summer,Moskva,Athletics,Athletics Men's Triple Jump,NA
28369,2000 Summer,Sydney,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
28370,2008 Summer,Beijing,Athletics,Athletics Men's Marathon,NA
28371,2012 Summer,London,Athletics,Athletics Men's Marathon,NA
28372,1984 Summer,Los Angeles,Athletics,"Athletics Men's 5,000 metres",NA
28373,1988 Summer,Seoul,Athletics,Athletics Men's Marathon,NA
28374,1996 Summer,Atlanta,Athletics,Athletics Men's Marathon,NA
28375,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,NA
28376,1972 Summer,Munich,Boxing,Boxing Men's Featherweight,NA
28377,1972 Summer,Munich,Athletics,"Athletics Men's 5,000 metres",NA
28378,1980 Summer,Moskva,Athletics,"Athletics Men's 10,000 metres",NA
28379,1980 Summer,Moskva,Athletics,Athletics Men's Marathon,NA
28380,1988 Summer,Seoul,Athletics,Athletics Men's 400 metres,NA
28381,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28382,1984 Summer,Los Angeles,Boxing,Boxing Men's Heavyweight,Bronze
28383,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28384,2012 Summer,London,Athletics,Athletics Men's Marathon,NA
28385,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Downhill,NA
28386,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
28387,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28388,1960 Summer,Roma,Boxing,Boxing Men's Featherweight,Gold
28389,1952 Summer,Helsinki,Athletics,Athletics Women's 80 metres Hurdles,NA
28390,1956 Summer,Melbourne,Athletics,Athletics Women's 100 metres,NA
28391,1956 Summer,Melbourne,Athletics,Athletics Women's 4 x 100 metres Relay,NA
28392,1980 Summer,Moskva,Boxing,Boxing Men's Light-Flyweight,Bronze
28393,1988 Summer,Seoul,Boxing,Boxing Men's Light-Flyweight,Gold
28394,1968 Summer,Mexico City,Athletics,Athletics Men's Pole Vault,NA
28395,1992 Summer,Barcelona,Athletics,Athletics Men's Discus Throw,NA
28396,1996 Summer,Atlanta,Athletics,Athletics Men's Discus Throw,NA
28397,2000 Summer,Sydney,Athletics,Athletics Men's Discus Throw,NA
28398,2004 Summer,Athina,Athletics,Athletics Men's Discus Throw,NA
28399,1992 Summer,Barcelona,Athletics,Athletics Men's Javelin Throw,NA
28400,1976 Summer,Montreal,Athletics,Athletics Men's 200 metres,NA
28401,1992 Summer,Barcelona,Athletics,Athletics Women's High Jump,NA
28402,2000 Summer,Sydney,Athletics,Athletics Women's High Jump,Bronze
28403,2004 Summer,Athina,Athletics,Athletics Women's High Jump,NA
28404,1984 Summer,Los Angeles,Athletics,"Athletics Men's 10,000 metres",Bronze
28405,2012 Summer,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
28406,2012 Summer,London,Athletics,Athletics Men's Marathon,NA
28407,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,NA
28408,2000 Summer,Sydney,Athletics,Athletics Men's 800 metres,NA
28409,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28410,1980 Summer,Moskva,Boxing,Boxing Men's Bantamweight,NA
28411,1992 Summer,Barcelona,Athletics,Athletics Women's 200 metres,NA
28412,1992 Summer,Barcelona,Athletics,Athletics Women's 4 x 100 metres Relay,NA
28413,2012 Summer,London,Athletics,Athletics Men's 800 metres,NA
28414,1988 Summer,Seoul,Boxing,Boxing Men's Light-Flyweight,NA
28415,1992 Summer,Barcelona,Boxing,Boxing Men's Bantamweight,NA
28416,2012 Summer,London,Athletics,Athletics Women's 20 kilometres Walk,NA
28417,1988 Summer,Seoul,Athletics,"Athletics Men's 5,000 metres",NA
28418,1988 Summer,Seoul,Athletics,Athletics Men's Marathon,NA
28419,1992 Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",NA
28420,1992 Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28421,1996 Summer,Atlanta,Athletics,Athletics Men's Marathon,NA
28422,1988 Summer,Seoul,Athletics,Athletics Women's 800 metres,NA
28423,1992 Summer,Barcelona,Athletics,Athletics Women's 800 metres,NA
28424,1992 Summer,Barcelona,Athletics,"Athletics Women's 1,500 metres",NA
28425,1996 Summer,Atlanta,Athletics,Athletics Women's 800 metres,Bronze
28426,2000 Summer,Sydney,Athletics,Athletics Women's 800 metres,Gold
28427,2004 Summer,Athina,Athletics,Athletics Women's 800 metres,NA
28428,2008 Summer,Beijing,Athletics,Athletics Women's 800 metres,NA
28429,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Women's Slalom,NA
28430,2000 Summer,Sydney,Athletics,Athletics Men's 800 metres,NA
28431,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28432,2004 Summer,Athina,Athletics,Athletics Men's 800 metres,NA
28433,1992 Summer,Barcelona,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
28434,1988 Summer,Seoul,Athletics,Athletics Men's 100 metres,NA
28435,1988 Summer,Seoul,Athletics,Athletics Men's 200 metres,NA
28436,1992 Summer,Barcelona,Athletics,Athletics Men's 100 metres,NA
28437,1964 Summer,Tokyo,Athletics,Athletics Women's 100 metres,NA
28438,1964 Summer,Tokyo,Athletics,Athletics Women's 200 metres,NA
28439,2008 Summer,Beijing,Boxing,Boxing Men's Light-Heavyweight,NA
28440,2012 Summer,London,Boxing,Boxing Men's Light-Heavyweight,NA
28441,2012 Summer,London,Athletics,Athletics Women's Javelin Throw,NA
28442,2000 Summer,Sydney,Athletics,Athletics Men's 400 metres Hurdles,NA
28443,2004 Summer,Athina,Athletics,Athletics Men's 400 metres Hurdles,NA
28444,1980 Summer,Moskva,Athletics,Athletics Men's 200 metres,NA
28445,1980 Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28446,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,NA
28447,1960 Summer,Roma,Athletics,Athletics Men's 110 metres Hurdles,NA
28448,1992 Summer,Barcelona,Athletics,Athletics Men's Decathlon,NA
28449,2000 Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,NA
28450,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,NA
28451,2012 Summer,London,Athletics,Athletics Men's Marathon,NA
28452,1984 Summer,Los Angeles,Boxing,Boxing Men's Flyweight,NA
28453,1984 Summer,Los Angeles,Boxing,Boxing Men's Middleweight,NA
28454,1972 Summer,Munich,Boxing,Boxing Men's Light-Welterweight,NA
28455,1972 Summer,Munich,Athletics,Athletics Men's Decathlon,NA
28456,1996 Summer,Atlanta,Boxing,Boxing Men's Light-Welterweight,NA
28457,2004 Summer,Athina,Boxing,Boxing Men's Light-Welterweight,NA
28458,1988 Summer,Seoul,Boxing,Boxing Men's Light-Welterweight,NA
28459,1984 Summer,Los Angeles,Boxing,Boxing Men's Featherweight,NA
28460,1968 Summer,Mexico City,Boxing,Boxing Men's Bantamweight,NA
28461,1984 Summer,Los Angeles,Boxing,Boxing Men's Flyweight,NA
28462,1988 Summer,Seoul,Boxing,Boxing Men's Featherweight,NA
28463,1992 Summer,Barcelona,Athletics,Athletics Women's 100 metres,NA
28464,1992 Summer,Barcelona,Athletics,Athletics Women's 200 metres,NA
28465,1992 Summer,Barcelona,Athletics,Athletics Women's 400 metres,NA
28466,1996 Summer,Atlanta,Athletics,Athletics Women's 400 metres,NA
28467,2012 Summer,London,Boxing,Boxing Men's Super-Heavyweight,NA
28468,1972 Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28469,1972 Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28470,1988 Summer,Seoul,Boxing,Boxing Men's Flyweight,NA
28471,1992 Summer,Barcelona,Boxing,Boxing Men's Flyweight,NA
28472,1984 Summer,Los Angeles,Boxing,Boxing Men's Light-Flyweight,NA
28473,1984 Summer,Los Angeles,Boxing,Boxing Men's Bantamweight,NA
28474,1980 Summer,Moskva,Boxing,Boxing Men's Flyweight,NA
28475,1980 Summer,Moskva,Athletics,Athletics Women's 800 metres,NA
28476,1980 Summer,Moskva,Athletics,"Athletics Women's 1,500 metres",NA
28477,1984 Summer,Los Angeles,Athletics,"Athletics Women's 3,000 metres",NA
28478,1968 Summer,Mexico City,Boxing,Boxing Men's Flyweight,NA
28479,2000 Summer,Sydney,Athletics,"Athletics Men's 5,000 metres",NA
28480,1992 Summer,Barcelona,Boxing,Boxing Men's Light-Heavyweight,NA
28481,1988 Summer,Seoul,Athletics,Athletics Men's Marathon,NA
28482,1992 Summer,Barcelona,Athletics,"Athletics Men's 10,000 metres",NA
28483,1996 Summer,Atlanta,Athletics,Athletics Men's Marathon,NA
28484,1984 Summer,Los Angeles,Athletics,Athletics Men's 400 metres,NA
28485,1972 Summer,Munich,Athletics,Athletics Men's 100 metres,NA
28486,1988 Summer,Seoul,Boxing,Boxing Men's Bantamweight,NA
28487,2004 Summer,Athina,Athletics,Athletics Women's 100 metres,NA
28488,1972 Summer,Munich,Boxing,Boxing Men's Featherweight,NA
28489,2004 Summer,Athina,Athletics,Athletics Men's 800 metres,NA
28490,2008 Summer,Beijing,Athletics,Athletics Men's 800 metres,NA
28491,2012 Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28492,1984 Summer,Los Angeles,Boxing,Boxing Men's Light-Flyweight,Bronze
28493,1980 Summer,Moskva,Athletics,Athletics Men's 100 metres,NA
28494,1972 Summer,Munich,Athletics,Athletics Men's 110 metres Hurdles,NA
28495,1976 Summer,Montreal,Athletics,Athletics Men's 110 metres Hurdles,NA
28496,2000 Summer,Sydney,Athletics,Athletics Men's 400 metres Hurdles,NA
28497,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28498,2004 Summer,Athina,Athletics,Athletics Men's 400 metres Hurdles,NA
28499,2008 Summer,Beijing,Athletics,Athletics Men's 400 metres Hurdles,NA
28500,2008 Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28501,1988 Summer,Seoul,Athletics,Athletics Women's 100 metres,NA
28502,1996 Summer,Atlanta,Athletics,Athletics Women's 200 metres,NA
28503,1996 Summer,Atlanta,Athletics,Athletics Women's 400 metres,NA
28504,1948 Summer,London,Athletics,Athletics Women's 100 metres,NA
28505,1948 Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
28506,2012 Summer,London,Athletics,Athletics Men's Shot Put,NA
28507,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28508,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Downhill,NA
28509,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Super G,NA
28510,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28511,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Combined,NA
28512,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28513,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
28514,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Slalom,Bronze
28515,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28516,1992 Summer,Barcelona,Athletics,Athletics Men's Marathon,NA
28517,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 800 metres,NA
28518,1956 Summer,Melbourne,Athletics,"Athletics Men's 10,000 metres",NA
28519,1956 Summer,Melbourne,Athletics,Athletics Men's Marathon,NA
28520,1960 Summer,Roma,Athletics,Athletics Men's Marathon,NA
28521,2000 Summer,Sydney,Athletics,Athletics Men's Decathlon,NA
28522,2000 Summer,Sydney,Athletics,Athletics Women's High Jump,NA
28523,2004 Summer,Athina,Athletics,Athletics Women's High Jump,NA
28524,1988 Summer,Seoul,Athletics,Athletics Women's Discus Throw,NA
28525,2004 Summer,Athina,Athletics,Athletics Women's 400 metres,NA
28526,2012 Summer,London,Athletics,Athletics Men's Long Jump,NA
28527,1968 Summer,Mexico City,Athletics,"Athletics Men's 5,000 metres",NA
28528,1968 Summer,Mexico City,Athletics,"Athletics Men's 10,000 metres",NA
28529,1948 Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28530,1988 Summer,Seoul,Athletics,Athletics Men's 100 metres,NA
28531,1988 Summer,Seoul,Athletics,Athletics Men's 200 metres,NA
28532,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28533,1992 Summer,Barcelona,Athletics,Athletics Men's 100 metres,NA
28534,1992 Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28535,2000 Summer,Sydney,Athletics,Athletics Men's 100 metres,NA
28536,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28537,2004 Summer,Athina,Athletics,Athletics Men's 100 metres,NA
28538,2004 Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28539,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Men's Downhill,NA
28540,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28541,1988 Summer,Seoul,Boxing,Boxing Men's Light-Welterweight,Bronze
28542,1976 Summer,Montreal,Athletics,Athletics Men's Long Jump,NA
28543,1984 Summer,Los Angeles,Athletics,Athletics Men's Long Jump,NA
28544,1988 Summer,Seoul,Athletics,Athletics Men's Long Jump,Bronze
28545,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,NA
28546,2008 Summer,Beijing,Boxing,Boxing Men's Super-Heavyweight,NA
28547,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
28548,1964 Summer,Tokyo,Athletics,Athletics Men's 800 metres,NA
28549,1964 Summer,Tokyo,Athletics,"Athletics Men's 1,500 metres",NA
28550,1968 Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA
28551,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Middleweight,NA
28552,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Super G,NA
28553,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
28554,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28555,1984 Summer,Los Angeles,Boxing,Boxing Men's Featherweight,NA
28556,1996 Summer,Atlanta,Boxing,Boxing Men's Welterweight,NA
28557,1992 Summer,Barcelona,Athletics,Athletics Men's Marathon,NA
28558,1992 Summer,Barcelona,Athletics,"Athletics Women's 3,000 metres",NA
28559,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,NA
28560,1988 Summer,Seoul,Athletics,"Athletics Men's 5,000 metres",NA
28561,1988 Summer,Seoul,Athletics,"Athletics Men's 10,000 metres",NA
28562,2008 Summer,Beijing,Athletics,Athletics Women's 400 metres,NA
28563,1992 Summer,Barcelona,Athletics,Athletics Men's Triple Jump,NA
28564,1996 Summer,Atlanta,Athletics,Athletics Men's Triple Jump,NA
28565,2000 Summer,Sydney,Athletics,Athletics Men's Triple Jump,NA
28566,2004 Summer,Athina,Athletics,Athletics Men's Marathon,NA
28567,1968 Summer,Mexico City,Athletics,Athletics Men's 110 metres Hurdles,NA
28568,1972 Summer,Munich,Athletics,Athletics Men's 110 metres Hurdles,NA
28569,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Downhill,Gold
28570,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Gold
28571,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Slalom,NA
28572,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
28573,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Women's Slalom,NA
28574,1980 Winter,Lake Placid,Alpine Skiing,Alpine Skiing Women's Downhill,Bronze
28575,1980 Winter,Lake Placid,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
28576,1980 Winter,Lake Placid,Alpine Skiing,Alpine Skiing Women's Slalom,NA
28577,1996 Summer,Atlanta,Athletics,Athletics Women's 200 metres,NA
28578,2000 Summer,Sydney,Athletics,Athletics Women's 200 metres,NA
28579,2000 Summer,Sydney,Athletics,Athletics Women's 400 metres,NA
28580,2004 Summer,Athina,Athletics,Athletics Women's 400 metres,NA
28581,1996 Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
28582,1972 Summer,Munich,Athletics,Athletics Women's Discus Throw,NA
28583,1988 Summer,Seoul,Boxing,Boxing Men's Welterweight,NA
28584,1996 Summer,Atlanta,Athletics,Athletics Women's Long Jump,NA
28585,1996 Summer,Atlanta,Athletics,Athletics Women's Triple Jump,NA
28586,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,NA
28587,1996 Summer,Atlanta,Boxing,Boxing Men's Bantamweight,NA
28588,2004 Summer,Athina,Boxing,Boxing Men's Light-Welterweight,NA
28589,1972 Summer,Munich,Boxing,Boxing Men's Flyweight,NA
28590,1968 Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA
28591,1992 Summer,Barcelona,Boxing,Boxing Men's Light-Middleweight,NA
28592,1952 Summer,Helsinki,Boxing,Boxing Men's Flyweight,NA
28593,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,NA
28594,1984 Summer,Los Angeles,Athletics,Athletics Men's High Jump,NA
28595,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
28596,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28597,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
28598,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Women's Slalom,NA
28599,1976 Summer,Montreal,Athletics,Athletics Men's Discus Throw,NA
28600,1980 Summer,Moskva,Athletics,Athletics Men's Discus Throw,NA
28601,2012 Summer,London,Athletics,"Athletics Women's 5,000 metres",NA
28602,1984 Summer,Los Angeles,Athletics,Athletics Men's Discus Throw,NA
28603,1988 Summer,Seoul,Athletics,Athletics Men's Discus Throw,NA
28604,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Downhill,NA
28605,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
28606,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Slalom,NA
