Id,Games,City,Sport,Event,Medal
41122,1980 Winter,Lake Placid,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
41123,1980 Winter,Lake Placid,Alpine Skiing,Alpine Skiing Women's Slalom,NA
41124,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
41125,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Women's Slalom,NA
41126,1996 Summer,Atlanta,Athletics,Athletics Women's Javelin Throw,NA
41127,2000 Summer,Sydney,Athletics,Athletics Women's Javelin Throw,NA
41128,2004 Summer,Athina,Athletics,Athletics Women's Javelin Throw,NA
41129,2012 Summer,London,Athletics,Athletics Women's 100 metres Hurdles,NA
41130,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Downhill,NA
41131,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
41132,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41133,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Men's Downhill,NA
41134,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Downhill,NA
41135,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
41136,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41137,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Downhill,NA
41138,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,NA
41139,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
41140,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Downhill,NA
41141,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Super G,NA
41142,1972 Summer,Munich,Athletics,Athletics Men's High Jump,NA
41143,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Women's Slalom,NA
41144,2004 Summer,Athina,Athletics,Athletics Men's Long Jump,NA
41145,2008 Summer,Beijing,Athletics,Athletics Men's Long Jump,NA
41146,2012 Summer,London,Athletics,Athletics Men's Long Jump,NA
41147,1960 Summer,Roma,Athletics,Athletics Men's Long Jump,NA
41148,1960 Summer,Roma,Athletics,Athletics Men's Triple Jump,NA
41149,1964 Summer,Tokyo,Athletics,Athletics Men's Long Jump,NA
41150,1964 Summer,Tokyo,Athletics,Athletics Men's Triple Jump,NA
41151,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,NA
41152,1984 Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,NA
41153,1960 Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Downhill,NA
41154,1960 Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
41155,1960 Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41156,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41157,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41158,1972 Summer,Munich,Athletics,Athletics Men's 400 metres,NA
41159,1980 Summer,Moskva,Boxing,Boxing Men's Welterweight,NA
41160,1988 Summer,Seoul,Athletics,Athletics Men's 400 metres Hurdles,NA
41161,2004 Summer,Athina,Athletics,Athletics Men's High Jump,NA
41162,1980 Winter,Lake Placid,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
41163,1980 Winter,Lake Placid,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41164,1992 Summer,Barcelona,Boxing,Boxing Men's Lightweight,NA
41165,1996 Summer,Atlanta,Boxing,Boxing Men's Lightweight,Silver
41166,2000 Summer,Sydney,Athletics,Athletics Women's 100 metres,NA
41167,2004 Summer,Athina,Athletics,Athletics Men's 400 metres Hurdles,NA
41168,2004 Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
41169,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,NA
41170,2008 Summer,Beijing,Athletics,Athletics Men's 100 metres,NA
41171,1988 Summer,Seoul,Athletics,"Athletics Women's 10,000 metres",NA
41172,1988 Summer,Seoul,Athletics,Athletics Women's Marathon,NA
41173,1968 Summer,Mexico City,Athletics,Athletics Men's Decathlon,Gold
41174,2012 Summer,London,Athletics,Athletics Men's Shot Put,NA
41175,1992 Summer,Barcelona,Athletics,"Athletics Women's 10,000 metres",NA
41176,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41177,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Downhill,NA
41178,1992 Summer,Barcelona,Boxing,Boxing Men's Light-Middleweight,NA
41179,1992 Summer,Barcelona,Athletics,Athletics Men's High Jump,NA
41180,1996 Summer,Atlanta,Athletics,Athletics Men's High Jump,NA
41181,2000 Summer,Sydney,Athletics,Athletics Men's High Jump,NA
41182,2004 Summer,Athina,Athletics,Athletics Men's High Jump,NA
41183,2008 Summer,Beijing,Athletics,Athletics Men's High Jump,NA
41184,2012 Summer,London,Athletics,Athletics Men's High Jump,NA
41185,1980 Summer,Moskva,Athletics,Athletics Men's 20 kilometres Walk,NA
41186,1984 Summer,Los Angeles,Athletics,Athletics Men's 20 kilometres Walk,NA
41187,2008 Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,NA
41188,1960 Summer,Roma,Boxing,Boxing Men's Lightweight,NA
41189,1960 Summer,Roma,Athletics,Athletics Men's Marathon,NA
41190,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Triple Jump,NA
41191,1964 Summer,Tokyo,Athletics,Athletics Women's High Jump,NA
41192,1964 Summer,Tokyo,Athletics,Athletics Men's Pole Vault,NA
41193,1952 Summer,Helsinki,Athletics,Athletics Women's Javelin Throw,NA
41194,2012 Summer,London,Boxing,Boxing Women's Middleweight,Silver
41195,1948 Summer,London,Boxing,Boxing Men's Welterweight,Gold
41196,1952 Summer,Helsinki,Boxing,Boxing Men's Welterweight,NA
41197,1956 Summer,Melbourne,Boxing,Boxing Men's Middleweight,NA
41198,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Downhill,NA
41199,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,NA
