"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
South Asia,227.85,263.568,273.017,288.938,289.356,313.181,330.822,366.555,392.19,398.684,428.16,386.028,409.683,405.808,459.587,510.597,552.011,578.692,586.647,622.71,637.767,652.632,685.504,798.902,926.636,1060.688,1203.291,1522.414,1549.933,1701.33,2079.49,2256.288,2278.801,2338.896,2563.461,2679.842,2906.845,3329.277,3416.223,3575.299,3422.113,3803.345,4133.934,4486.825,4854.664,5249.47,5672.278
Southeast Asia,245.909,248.004,263.685,270.473,307.009,262.033,277.438,299.945,312.576,332.087,378.115,424.432,482.786,541.658,619.459,721.379,802.784,761.044,516.507,606.727,647.222,625.232,698.216,786.065,888.978,991.143,1186.731,1416.452,1649.047,1630.454,2017.668,2345.921,2491.261,2576.688,2598.199,2524.148,2645.435,2854.246,3059.052,3239.425,3082.943,3357.389,3614.806,3885.944,4158.984,4449.813,4761.877
Sub-Saharan Africa (Region) ,315.865,330.686,332.603,305.993,243.191,221.365,253.462,277.787,295.946,309.043,399.554,405.006,401.983,402.926,391.43,480.54,540.164,562.984,566.524,411.23,418.265,403.407,437.332,545.043,671.075,794.632,924.079,1075.564,1237.936,1175.666,1393.971,1597.864,1667.256,1757.099,1842.831,1656.455,1545.579,1632.926,1741.011,1760.166,1668.394,1862.328,2010.823,2174.409,2358.361,2557.312,2795.612
Western Europe,3847.16,3437.432,3309.037,3217.742,3091.468,3208.197,4374.235,5410.917,6046.011,6152.24,7636.263,8123.35,8832.095,8023.383,8513.01,9759.644,9941.466,9350.377,9644.91,9654.667,8972.719,9032.607,9847.591,11950.142,13747.454,14310.855,15227.926,17473.783,18763.155,16834.758,16778.635,18202.972,17209.957,17912.211,18506.775,16298.246,16356.757,17083.707,18389.701,17965.349,17371.446,19708.478,20992.839,21797.601,22616.071,23413.998,24249.682
Western Hemisphere (Region),4010.588,4462.84,4440.323,4689.642,5139.021,5504.179,5754.833,6133.942,6697.537,7276.344,7751.337,8052.983,8519.015,9018.243,9669.532,10183.348,10807.413,11535.283,12020.802,12401.94,13283.424,13557.928,13689.175,14383.386,15563.406,17020.692,18422.203,19808.227,20783.45,20015.119,21815.123,23374.172,24095.87,24794.638,25429.01,25183.076,25447.787,26778.895,27742.589,28471.907,26987.991,29317.32,31104.867,32407.764,33729.472,35069.12,36433.609
ASEAN-5,231.915,232.519,246.687,250.416,284.515,235.356,253.181,273.265,281.621,295.54,332.686,370.807,421.231,471.433,535.402,621.308,693.598,648.211,416.679,503.984,531.015,515.884,585.687,664.867,746.056,830.864,1000.237,1190.294,1397.095,1375.978,1706.45,1971.288,2092.722,2161.519,2171.669,2106.524,2217.594,2396.675,2558.685,2735.211,2602.867,2842.118,3075.799,3318.922,3561.838,3821.095,4099.486
Advanced economies,8480.504,8615.632,8554.98,8901.26,9309.682,9803.447,11972.342,13921.608,15729.101,16407.455,18415.925,19669.22,21158.466,21315.411,22877.792,25330.317,25505.323,25011.027,25101.04,26431.077,26888.727,26608.705,27769.954,31140.403,34536.008,36336.318,38214.088,41724.546,44033.85,41569.644,43389.789,46592.174,46429.96,46836.259,47955.386,45426.908,46661.922,48668.54,51518.103,51974.617,50595.13,55989.937,59369.227,61818.482,64151.198,66486.802,68893.802
Emerging and Developing Asia,742.886,758.572,774.533,818.605,859.135,835.092,858.571,939.676,1048.915,1117.558,1121.751,1130.008,1279.777,1447.964,1511.402,1808.352,2049.236,2128.607,1970.652,2164.591,2324.834,2453.616,2688.476,3066.036,3558.158,4111.779,4875.885,6181.446,7437.262,8081.871,9742.667,11638.194,12833.401,14045.098,15171.738,15781.858,16223.952,17845.264,19676.066,20554.31,20671.149,23204.013,25126.678,27119.857,29208.375,31423.191,33760.265
Emerging and Developing Europe,256.72,267.69,272.362,270.481,260.601,269.823,285.839,305.851,343.579,360.173,1415.88,1212.999,519.737,672.195,738.29,887.306,1011.956,1072.025,956.613,826.414,913.196,934.434,1060.505,1308.83,1689.148,2095.867,2499.936,3202.626,3934.724,3083.449,3588.138,4193.965,4323.155,4573.263,4306.27,3343.606,3284.519,3705.214,3863.951,3931.755,3650.167,4121.179,4406.011,4672.466,4942.579,5244.739,5568.64
Emerging market and developing economies,2724.579,2867.611,2708.854,2668.181,2676.382,2702.189,2777.934,3065.998,3362.016,3673.01,5211.488,4783.246,4149.467,4682.371,5066.442,5819.536,6511.819,6919.875,6674.875,6466.582,7096.97,7110.613,7081.988,7978.301,9492.676,11354.291,13437.367,16571.085,19897.711,19005.721,22851.194,26931.858,28480.893,30247.873,31199.92,29509.663,29496.961,32165.151,34375.292,35370.683,33942.558,37873.914,40735.466,43658.368,46731.029,49983.01,53469.663
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6095.027,6721.931,6109.669,6453.795,7616.928,7733.079,6942.173,7106.839,7117.542,6488.955,6584.355,7182.015,8843.725,10137.063,10511.099,11166.341,12865.36,14145.019,12916.332,12645.757,13633.151,12643.406,13192.812,13510.616,11673.094,11968.565,12667.278,13691.435,13364.817,12916.618,14583.868,15553.293,16130.729,16686.387,17215.176,17757.695
European Union,3210.782,2837.942,2750.709,2689.527,2588.018,2666.245,3657.972,4483.106,4948.888,5037.736,6210.754,6624.193,7315.835,6680.947,7082.51,8283.019,8417.635,7729.926,7966.376,7925.702,7270.297,7382.948,8067.021,9914.757,11397.822,11900.256,12698.332,14717.123,16287.217,14744.538,14564.317,15754.488,14639.989,15295.607,15652.372,13549.738,13887.316,14753.247,15972.093,15636.271,15167.815,17127.535,18283.894,19032.779,19757.615,20462.339,21183.949
Latin America and the Caribbean,862.792,932.613,765.12,696.478,725.481,778.706,774.224,821.674,925.554,1039.251,1161.519,1250.057,1369.683,1543.712,1762.678,1895.009,2058.349,2254.536,2269.887,2034.982,2224.741,2167.467,1920.031,1953.703,2242.885,2726.648,3200.972,3797.933,4424.122,4093.299,5107.346,5937.893,5968.893,6060.768,5993.538,5284.893,5070.355,5483.208,5307.903,5192.117,4315.982,4657.878,4967.637,5267.72,5590.559,5893.617,6200.122
Major advanced economies (G7),6903.185,7120.055,7088.324,7479.699,7871.317,8345.472,10099.757,11608.795,13057.883,13553.82,14989.822,16060.218,17243.462,17587.124,18799.33,20498.544,20460.885,20196.016,20465.916,21573.137,22088.944,21826.083,22515.567,24848.522,27283.937,28483.079,29710.621,31895.365,33407.924,31839.004,33040.122,35137.767,35305.301,35316.541,36206.502,34807.356,35797.748,37024.427,39081.388,39740.773,38622.672,42425.389,44997.548,46799.081,48478.1,50185.773,51929.951
Middle East and Central Asia,555.412,584.579,568.984,583.109,595.966,602.751,613.239,732.974,757.572,863.837,1117.459,790.407,584.222,623.323,671.239,757.813,863.317,914.741,924.872,1042.824,1231.628,1169.963,996.395,1128.976,1361.353,1664.479,1986.846,2378.475,2935.02,2632.398,3091.968,3638.911,3745.757,3873.912,3955.1,3516.014,3446.473,3555.926,3832.313,3977.174,3682.821,4077.243,4272.902,4474.134,4683.49,4918.886,5202.343
Other advanced economies,774.193,789.598,784.131,782.479,820.539,818.29,998.021,1228.53,1448.112,1575.147,1814.554,1927.532,2056.423,2029.823,2279.187,2686.763,2865.589,2776.988,2506.133,2684.902,2771.562,2688.358,2924.225,3368.772,3849.998,4245.637,4599.583,5261.029,5560.855,5113.772,5888.228,6728.783,6784.427,7014.991,7148.062,6580.274,6713.892,7215.155,7592.701,7451.785,7344.248,8346.278,8789.183,9186.489,9602.369,10014.698,10456.82
Sub-Saharan Africa,306.77,324.156,327.855,299.508,235.199,215.818,246.061,265.823,286.395,292.191,394.88,399.774,396.047,395.178,382.833,471.056,528.961,549.966,552.851,397.771,402.571,385.134,416.581,520.756,641.131,755.518,873.728,1010.606,1166.584,1114.704,1321.076,1522.895,1609.687,1694.833,1773.274,1583.292,1471.663,1575.538,1695.06,1715.326,1622.44,1813.6,1962.238,2124.191,2306.027,2502.576,2738.292
World,11205.083,11483.243,11263.834,11569.441,11986.063,12505.637,14750.276,16987.606,19091.117,20080.465,23627.413,24452.466,25307.933,25997.782,27944.235,31149.854,32017.142,31930.902,31775.915,32897.659,33985.697,33719.318,34851.942,39118.704,44028.684,47690.608,51651.455,58295.631,63931.561,60575.365,66240.984,73524.032,74910.854,77084.133,79155.306,74936.572,76158.883,80833.691,85893.395,87345.3,84537.688,93863.851,100104.694,105476.85,110882.227,116469.812,122363.464
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
